SIG,MRK,TRC,FREQ,PEAK AMPL,QPD AMPL,EAVG AMPL,PEAK LL1 DELTA,QPD LL4 DELTA,EAVG LL5 DELTA,COMPOSITE AMPCOR,RBW,RBW TYPE,TIMESTAMP,COMMENT,USE ANTENNA UNIT
1,False,1,30000000,16.19632693545,13.7008511664071,11.2725827337899,---,-31.2991488369531,-23.7274172695703,0,9000,CISPR,2018/11/27 20:57:05,,False
2,False,1,30200000,15.6361539007821,13.8624493719735,11.5505063177743,---,-31.1449580387941,-23.4569010929933,0,9000,CISPR,2018/11/27 20:57:08,,False
3,False,1,30500000,16.0270306708016,14.0344082953133,11.6835858465828,---,-30.9841102265654,-23.3349326752959,0,9000,CISPR,2018/11/27 20:57:10,,False
4,False,1,30900000,15.5684811712899,13.6307294012703,11.2673260809578,---,-31.4026039354232,-23.7660072557357,0,9000,CISPR,2018/11/27 20:57:12,,False
5,False,1,31100000,15.2301785589852,13.2491376043953,10.9551388861336,---,-31.7916031397056,-24.0856018579673,0,9000,CISPR,2018/11/27 20:57:15,,False
6,False,1,31300000,15.1032101751961,13.0721814276375,10.6025845648446,---,-31.9759667238708,-24.4455635866638,0,9000,CISPR,2018/11/27 20:57:17,,False
7,False,1,31600000,14.5356061102547,12.8012158514657,10.3956677557625,---,-32.2580434111538,-24.6635915068569,0,9000,CISPR,2018/11/27 20:57:19,,False
8,False,1,32000000,14.5302884222664,12.8582532049813,10.3978879095711,---,-32.215820872453,-24.6761861678631,0,9000,CISPR,2018/11/27 20:57:21,,False
9,False,1,32300000,14.4978940130868,12.79007693545,10.3887936712899,---,-32.2951082530953,-24.6963915172555,0,9000,CISPR,2018/11/27 20:57:24,,False
10,False,1,32700000,14.9530865790047,12.8751828314461,10.3054959417977,---,-32.2248171719141,-24.7945040615625,0,9000,CISPR,2018/11/27 20:57:26,,False
11,False,1,33200000,15.1595532538094,13.2922284247078,10.8492200018563,---,-31.8262900971709,-24.2692985200224,0,9000,CISPR,2018/11/27 20:57:28,,False
12,False,1,33500000,15.806792938868,13.9924924017586,11.7187115790047,---,-31.1371372312312,-23.4109180539851,0,9000,CISPR,2018/11/27 20:57:31,,False
13,False,1,33900000,16.9703213812508,15.1884686590828,13.1814877630868,---,-29.9559757887218,-21.9629566847179,0,9000,CISPR,2018/11/27 20:57:33,,False
14,False,1,34200000,17.760406220118,16.1250912787118,14.4074246527352,---,-29.030464280204,-20.7481309061805,0,9000,CISPR,2018/11/27 20:57:35,,False
15,False,1,34400000,18.4121167303719,16.8605115057625,15.2170331122078,---,-28.3024514605606,-19.9459298541153,0,9000,CISPR,2018/11/27 20:57:38,,False
16,False,1,35300000,20.5476987005868,19.4375455023446,18.0596234442391,---,-25.7587507973119,-17.1366728554174,0,9000,CISPR,2018/11/27 20:57:40,,False
17,False,1,35800000,21.2268826605477,20.3566052557625,19.0847851874032,---,-24.8582095624125,-16.1300296307718,0,9000,CISPR,2018/11/27 20:57:42,,False
18,False,1,37300000,25.5210644842782,24.5803982855477,23.6981808783211,---,-20.6899720881829,-11.5721894954094,0,9000,CISPR,2018/11/27 20:57:44,,False
19,False,1,37600000,26.0649563910164,25.0214459540047,24.1630398871102,---,-20.2600355308369,-11.1184415977315,0,9000,CISPR,2018/11/27 20:57:47,,False
20,False,1,38200000,26.3296963812508,25.8449399115243,25.0804364325203,---,-19.4587637955396,-10.2232672745435,0,9000,CISPR,2018/11/27 20:57:49,,False
21,False,1,38600000,26.7410199286141,26.2624051214852,25.496848786036,---,-19.0561134003935,-9.82166973584273,0,9000,CISPR,2018/11/27 20:57:51,,False
22,False,1,39000000,27.2580258490243,26.448150360743,25.6857449652352,---,-18.8851829759505,-9.64758837145833,0,9000,CISPR,2018/11/27 20:57:54,,False
23,False,1,39400000,27.0097729803719,26.4845807196297,25.7185513617196,---,-18.8635674318786,-9.62959678978878,0,9000,CISPR,2018/11/27 20:57:56,,False
24,False,1,39600000,27.0229031683602,26.3942639471688,25.5964123846688,---,-18.961291611747,-9.75914317424696,0,9000,CISPR,2018/11/27 20:57:58,,False
25,False,1,40200000,26.3780285956063,25.7803265692391,24.9828564764657,---,-19.5974512118989,-10.3949213046723,0,9000,CISPR,2018/11/27 20:58:01,,False
26,False,1,40600000,25.8822934271493,25.1902691961922,24.3549649359383,---,-20.2023233997606,-11.0376276600145,0,9000,CISPR,2018/11/27 20:58:03,,False
27,False,1,42300000,22.4496304632821,21.2866055609383,20.3182980658211,---,-24.1689499979774,-15.1372574930946,0,9000,CISPR,2018/11/27 20:58:05,,False
28,False,1,43300000,19.2817074896493,18.2830502630868,17.0609814764657,---,-27.209542332866,-18.4316111194871,0,9000,CISPR,2018/11/27 20:58:07,,False
29,False,1,43600000,18.6199948431649,17.3491131903328,15.97074099795,---,-28.154590516731,-19.5329627091139,0,9000,CISPR,2018/11/27 20:58:10,,False
30,False,1,44100000,17.825217926661,15.840125763575,14.1274106146493,---,-29.6820964620074,-21.3948116109332,0,9000,CISPR,2018/11/27 20:58:12,,False
31,False,1,44500000,17.3540875555672,15.2009045721688,13.1912533880868,---,-30.3361324682284,-22.3457836523105,0,9000,CISPR,2018/11/27 20:58:14,,False
32,False,1,45000000,16.6156918646493,15.2218396307625,13.2102505804696,---,-30.3337159281532,-22.3453049784462,0,9000,CISPR,2018/11/27 20:58:17,,False
33,False,1,45200000,16.9318997503914,15.6186215521493,13.7630307318368,---,-29.9443414141739,-21.7999322344864,0,9000,CISPR,2018/11/27 20:58:19,,False
34,False,1,45400000,18.0798337103524,16.1006466986336,14.2835461737313,---,-29.4697236750969,-21.2868241999993,0,9000,CISPR,2018/11/27 20:58:21,,False
35,False,1,45700000,18.1491696478524,16.9080731512703,15.2278973700203,---,-28.6734083335713,-20.3535841148213,0,9000,CISPR,2018/11/27 20:58:24,,False
36,False,1,45900000,18.8259579779305,17.4042203070321,15.8243329168953,---,-28.184668585217,-19.7645559753537,0,9000,CISPR,2018/11/27 20:58:26,,False
37,False,1,46300000,19.5150143744149,18.4175259710946,16.9931180121102,---,-27.1861777359693,-18.6105856949537,0,9000,CISPR,2018/11/27 20:58:28,,False
38,False,1,47000000,21.1888959051766,20.1283185125985,18.8754269720711,---,-25.5013111203913,-16.7542026609187,0,9000,CISPR,2018/11/27 20:58:31,,False
39,False,1,47600000,22.2793576361336,21.3706967474618,20.2788769842782,---,-24.2811551077503,-15.3729748709339,0,9000,CISPR,2018/11/27 20:58:33,,False
40,False,1,48100000,23.4795453192391,22.367698395411,21.3901440741219,---,-23.3026719783196,-14.2802262996086,0,9000,CISPR,2018/11/27 20:58:35,,False
41,False,1,48400000,23.6134411932625,22.8624417425789,21.8751980902352,---,-22.8190397422627,-13.8062833946065,0,9000,CISPR,2018/11/27 20:58:37,,False
42,False,1,48700000,24.1252133490243,23.3494641424813,22.3985592962899,---,-22.3431284534715,-13.2940332996629,0,9000,CISPR,2018/11/27 20:58:40,,False
43,False,1,49100000,24.4006039740243,23.8358380438485,22.9230725409188,---,-21.8715693669191,-12.7843348698488,0,9000,CISPR,2018/11/27 20:58:42,,False
44,False,1,49500000,25.053504669825,24.348540985743,23.5035626532235,---,-21.3736812398394,-12.2186595723589,0,9000,CISPR,2018/11/27 20:58:44,,False
45,False,1,49700000,25.2111203314461,24.563255036036,23.7276608587899,---,-21.1663745969538,-12.0019687741999,0,9000,CISPR,2018/11/27 20:58:47,,False
46,False,1,50300000,25.7232434393563,25.0811154486336,24.1834408880868,---,-20.6707364065784,-11.5684109671253,0,9000,CISPR,2018/11/27 20:58:49,,False
47,False,1,50600000,25.8896481634774,25.1832272650399,24.2685696722664,---,-20.5797357012833,-11.4943932940567,0,9000,CISPR,2018/11/27 20:58:51,,False
48,False,1,50800000,25.76566287295,25.1600720526375,24.256988251368,---,-20.610298321093,-11.5133821223626,0,9000,CISPR,2018/11/27 20:58:54,,False
49,False,1,51000000,25.7348782660164,25.1349560858407,24.2700802923836,---,-20.6428216952973,-11.5076974887543,0,9000,CISPR,2018/11/27 20:58:56,,False
50,False,1,51200000,25.8248974920907,25.178733551661,24.3115002752938,---,-20.6064516368844,-11.4736849132516,0,9000,CISPR,2018/11/27 20:58:58,,False
51,False,1,51400000,25.7863919378914,25.1909558417,24.2901303412118,---,-20.6016367542527,-11.502462254741,0,9000,CISPR,2018/11/27 20:59:00,,False
52,False,1,51600000,25.8730542303719,25.1147534491219,24.2036816717782,---,-20.6852465542383,-11.596318331582,0,9000,CISPR,2018/11/27 20:59:03,,False
53,False,1,51800000,25.5440137030282,25.0239026190438,24.1022565008797,---,-20.7835047917238,-11.7051509098879,0,9000,CISPR,2018/11/27 20:59:05,,False
54,False,1,52200000,25.329856598536,24.7100903631844,23.8200070501961,---,-21.112131862398,-12.0022151753863,0,9000,CISPR,2018/11/27 20:59:07,,False
55,False,1,52500000,24.9889752508797,24.4572903753914,23.5998532416024,---,-21.3760429613021,-12.2334800950911,0,9000,CISPR,2018/11/27 20:59:10,,False
56,False,1,52800000,24.8171002508797,24.1009518744149,23.2546689154305,---,-21.7434925733898,-12.5897755323741,0,9000,CISPR,2018/11/27 20:59:12,,False
57,False,1,53000000,24.6241910101571,23.9187466742196,23.0356366278328,---,-21.9331051809925,-12.8162152273792,0,9000,CISPR,2018/11/27 20:59:14,,False
58,False,1,54200000,22.6234280707039,21.7545010687508,20.7280881048836,---,-24.1417952309057,-15.1682081947729,0,9000,CISPR,2018/11/27 20:59:17,,False
59,False,1,55000000,21.0132138373055,19.9938809515633,18.7408063055672,---,-25.9320449777228,-17.1851196237189,0,9000,CISPR,2018/11/27 20:59:19,,False
60,False,1,55500000,19.8298108221688,18.9092480780282,17.6331250311532,---,-27.0351963697765,-18.3113194166515,0,9000,CISPR,2018/11/27 20:59:21,,False
61,False,1,55800000,19.4444272162118,18.5567700506844,17.2420498968758,---,-27.3987855082313,-18.7135056620399,0,9000,CISPR,2018/11/27 20:59:24,,False
62,False,1,56100000,19.6031643988289,18.6781537176766,17.3765179754891,---,-27.2885129523503,-18.5901486945378,0,9000,CISPR,2018/11/27 20:59:26,,False
63,False,1,56400000,20.0559155584969,19.1449429632821,17.8438717962899,---,-26.8328348178559,-18.1339059848481,0,9000,CISPR,2018/11/27 20:59:28,,False
64,False,1,56600000,20.6855771185555,19.6251370550789,18.3910061957039,---,-26.3600481334664,-17.5941789928414,0,9000,CISPR,2018/11/27 20:59:30,,False
65,False,1,57600000,23.6001660467782,22.9195935370125,22.0068356634774,---,-23.1026286885699,-14.015386562105,0,9000,CISPR,2018/11/27 20:59:33,,False
66,False,1,59000000,26.9686200262703,26.5137784125008,25.8376385809578,---,-19.5602956649334,-10.2364354964764,0,9000,CISPR,2018/11/27 20:59:35,,False
